experiment 0 times
heart beat succeeded[57145370]
heart beat succeeded[2091656200]
heart beat succeeded[660132107]
heart beat succeeded[380646068]
heart beat succeeded[1115159939]
heart beat succeeded[113891491]
heart beat succeeded[876583015]
heart beat succeeded[977709991]
heart beat succeeded[2070272609]
heart beat succeeded[654628875]
heart beat succeeded[600387026]
heart beat succeeded[2084522270]
heart beat succeeded[500645688]
heart beat succeeded[1384420644]
heart beat succeeded[1103467987]
heart beat succeeded[1390167309]
heart beat succeeded[1919574653]
heart beat succeeded[1844889558]
heart beat succeeded[1188351120]
heart beat succeeded[880224688]
heart beat succeeded[344475392]
heart beat succeeded[793575914]
heart beat succeeded[1609598105]
heart beat succeeded[1562897333]
heart beat succeeded[1042472547]
heart beat succeeded[1315517945]
heart beat succeeded[448502922]
heart beat succeeded[378798174]
heart beat succeeded[494409491]
heart beat succeeded[877899267]
heart beat succeeded[432495508]
heart beat succeeded[1362827232]
heart beat succeeded[1465583345]
heart beat succeeded[1400895952]
heart beat succeeded[1549411123]
heart beat succeeded[878805149]
heart beat succeeded[1650453168]
heart beat succeeded[445970900]
heart beat succeeded[390551984]
heart beat succeeded[1406985381]
heart beat succeeded[2002416318]
heart beat succeeded[629748174]
heart beat succeeded[1520986867]
heart beat succeeded[881810788]
heart beat succeeded[96640581]
heart beat succeeded[268944234]
heart beat succeeded[641405408]
heart beat succeeded[986115108]
heart beat succeeded[1000479245]
heart beat succeeded[1872848938]
heart beat succeeded[188481581]
heart beat succeeded[586819862]
heart beat succeeded[1713956047]
heart beat succeeded[884520945]
heart beat succeeded[1808895538]
heart beat succeeded[1234585076]
heart beat succeeded[477107504]
heart beat succeeded[2132449394]
heart beat succeeded[136957975]
heart beat succeeded[1427493682]
heart beat succeeded[439504839]
heart beat succeeded[1900454250]
heart beat succeeded[730718202]
heart beat succeeded[543363690]
heart beat succeeded[591803017]
heart beat succeeded[277963659]
heart beat succeeded[480650765]
heart beat succeeded[702833855]
heart beat succeeded[1390483829]
heart beat succeeded[786669023]
heart beat succeeded[298374818]
heart beat succeeded[1928017532]
heart beat succeeded[2010378045]
heart beat succeeded[2066443222]
heart beat succeeded[830540205]
heart beat succeeded[546793222]
heart beat succeeded[1484146508]
heart beat succeeded[2136521823]
heart beat succeeded[1342550629]
heart beat succeeded[102712169]
heart beat succeeded[289855383]
heart beat succeeded[2092461852]
heart beat succeeded[1802384143]
heart beat succeeded[1133578302]
heart beat succeeded[970565276]
heart beat succeeded[974756955]
heart beat succeeded[233254766]
heart beat succeeded[1370649862]
heart beat succeeded[76940693]
heart beat succeeded[784052530]
heart beat succeeded[624511759]
heart beat succeeded[37823221]
heart beat succeeded[924441164]
heart beat succeeded[1867600144]
heart beat succeeded[1263180203]
heart beat succeeded[1850468005]
heart beat succeeded[1759943561]
heart beat succeeded[1472257637]
heart beat succeeded[1690244088]
heart beat succeeded[1656903094]
heart beat succeeded[11420030]
heart beat succeeded[1347137011]
heart beat succeeded[1149620625]
heart beat succeeded[1429248917]
heart beat succeeded[2104981462]
heart beat succeeded[1859874816]
heart beat succeeded[1240722201]
heart beat succeeded[1731670126]
heart beat succeeded[1174273118]
heart beat succeeded[911081806]
heart beat succeeded[1044808360]
heart beat succeeded[1865308162]
heart beat succeeded[1170075770]
heart beat succeeded[761495327]
heart beat succeeded[1773145134]
heart beat succeeded[880623173]
heart beat succeeded[1206170047]
heart beat succeeded[835556873]
heart beat succeeded[1139433513]
heart beat succeeded[47257013]
heart beat succeeded[490563551]
heart beat succeeded[946381237]
heart beat succeeded[1452533294]
heart beat succeeded[785977237]
heart beat succeeded[814313211]
heart beat succeeded[653237771]
heart beat succeeded[5735274]
heart beat succeeded[631749281]
heart beat succeeded[1856053783]
heart beat succeeded[1073925570]
heart beat succeeded[2089751386]
heart beat succeeded[619983964]
heart beat succeeded[159243964]
heart beat succeeded[1857152011]
heart beat succeeded[700506080]
heart beat succeeded[941771279]
heart beat succeeded[145855130]
heart beat succeeded[1700963481]
heart beat succeeded[896315515]
heart beat succeeded[1053667998]
heart beat succeeded[936619090]
heart beat succeeded[1589977149]
heart beat succeeded[584083043]
heart beat succeeded[1236496190]
heart beat succeeded[13744621]
heart beat succeeded[836457119]
heart beat succeeded[290289560]
heart beat succeeded[1728895641]
heart beat succeeded[1692864937]
heart beat succeeded[1321630963]
heart beat succeeded[662450732]
heart beat succeeded[205887795]
heart beat succeeded[898323390]
heart beat succeeded[2044807162]
heart beat succeeded[136349052]
heart beat succeeded[282229568]
heart beat succeeded[988202833]
heart beat succeeded[112520472]
heart beat succeeded[434415415]
heart beat succeeded[1662457797]
heart beat succeeded[575605892]
heart beat succeeded[1411094735]
heart beat succeeded[493940994]
heart beat succeeded[130872280]
heart beat succeeded[31556957]
heart beat succeeded[896501105]
heart beat succeeded[1519992355]
heart beat succeeded[2047885838]
heart beat succeeded[2033661387]
heart beat succeeded[226150868]
heart beat succeeded[1973989576]
heart beat succeeded[1771345657]
heart beat succeeded[1208196260]
heart beat succeeded[868624430]
heart beat succeeded[1989126356]
heart beat succeeded[288479364]
heart beat succeeded[898107869]
heart beat succeeded[1960817783]
heart beat succeeded[910537452]
heart beat succeeded[1587615461]
heart beat succeeded[1018715478]
heart beat succeeded[2013771882]
heart beat succeeded[483705174]
heart beat succeeded[1621806040]
heart beat succeeded[1030430697]
heart beat succeeded[993411846]
heart beat succeeded[1792979055]
heart beat succeeded[122367862]
heart beat succeeded[389066035]
heart beat succeeded[880005340]
heart beat succeeded[1110159926]
heart beat succeeded[1655135687]
heart beat succeeded[1778543709]
heart beat succeeded[1974324986]
heart beat succeeded[225868151]
heart beat succeeded[859697457]
heart beat succeeded[477346712]
heart beat succeeded[598808272]
heart beat succeeded[1124484327]
heart beat succeeded[1940552617]
heart beat succeeded[1125680362]
heart beat succeeded[653857137]
heart beat succeeded[148944951]
heart beat succeeded[819140066]
heart beat succeeded[1385583262]
heart beat succeeded[1689917249]
heart beat succeeded[2020621389]
heart beat succeeded[1128319905]
heart beat succeeded[973830579]
heart beat succeeded[320207216]
heart beat succeeded[755065277]
heart beat succeeded[1149636593]
heart beat succeeded[1370209398]
heart beat succeeded[1900488867]
heart beat succeeded[67313743]
heart beat succeeded[1196082019]
heart beat succeeded[1985238246]
heart beat succeeded[2080277831]
heart beat succeeded[1603568637]
heart beat succeeded[944176698]
heart beat succeeded[982107354]
heart beat succeeded[680036885]
heart beat succeeded[1693100976]
heart beat succeeded[1504876042]
heart beat succeeded[2089687068]
heart beat succeeded[1525918558]
heart beat succeeded[673267969]
heart beat succeeded[9082013]
heart beat succeeded[132168962]
heart beat succeeded[19529495]
heart beat succeeded[1611716231]
heart beat succeeded[1739442234]
heart beat succeeded[1056564643]
heart beat succeeded[1859512056]
heart beat succeeded[672457243]
heart beat succeeded[1028467116]
heart beat succeeded[322491626]
heart beat succeeded[575152164]
heart beat succeeded[767284987]
heart beat succeeded[1872720673]
heart beat succeeded[2064182790]
heart beat succeeded[2096736617]
heart beat succeeded[972535098]
heart beat succeeded[61787632]
heart beat succeeded[1264983086]
heart beat succeeded[354467907]
heart beat succeeded[673807762]
heart beat succeeded[2060757251]
heart beat succeeded[153143260]
heart beat succeeded[849501722]
heart beat succeeded[799042040]
heart beat succeeded[983871568]
heart beat succeeded[2084027191]
heart beat succeeded[1497642590]
heart beat succeeded[729593806]
heart beat succeeded[1869567907]
heart beat succeeded[1032508]
heart beat succeeded[92222874]
heart beat succeeded[4737369]
heart beat succeeded[2018228603]
heart beat succeeded[1857258777]
heart beat succeeded[1133544120]
heart beat succeeded[1586526868]
heart beat succeeded[2125288016]
heart beat succeeded[314372323]
heart beat succeeded[1121204329]
heart beat succeeded[1279283854]
heart beat succeeded[1111102524]
heart beat succeeded[1191812505]
heart beat succeeded[141215134]
heart beat succeeded[1979514734]
heart beat succeeded[180959502]
heart beat succeeded[1137253351]
heart beat succeeded[1525964084]
heart beat succeeded[1408879333]
heart beat succeeded[2050982183]
heart beat succeeded[1659256893]
heart beat succeeded[907511227]
heart beat succeeded[1856502434]
heart beat succeeded[364406480]
heart beat succeeded[1575692382]
heart beat succeeded[1994434885]
heart beat succeeded[457021909]
heart beat succeeded[1194964295]
heart beat succeeded[1410937335]
heart beat succeeded[1834534837]
heart beat succeeded[40357411]
heart beat succeeded[324404862]
heart beat succeeded[631416416]
heart beat succeeded[966129442]
heart beat succeeded[1199288895]
heart beat succeeded[1040669905]
heart beat succeeded[1623816592]
heart beat succeeded[240288529]
heart beat succeeded[1162857379]
heart beat succeeded[410928169]
heart beat succeeded[1253188877]
heart beat succeeded[673956061]
heart beat succeeded[1931815892]
heart beat succeeded[1923613581]
heart beat succeeded[790564261]
heart beat succeeded[512182666]
heart beat succeeded[1269428299]
heart beat succeeded[2052070863]
heart beat succeeded[91107147]
heart beat succeeded[1090383779]
heart beat succeeded[658431998]
heart beat succeeded[454508699]
heart beat succeeded[1386125107]
heart beat succeeded[1014816362]
heart beat succeeded[1852472592]
heart beat succeeded[1179818882]
heart beat succeeded[991290117]
heart beat succeeded[1743908208]
heart beat succeeded[337670152]
heart beat succeeded[330996934]
heart beat succeeded[1410939743]
heart beat succeeded[1470372341]
heart beat succeeded[833699590]
heart beat succeeded[132337907]
heart beat succeeded[332416734]
heart beat succeeded[485741317]
heart beat succeeded[1632981563]
heart beat succeeded[1102986768]
heart beat succeeded[1283529109]
heart beat succeeded[1189982317]
heart beat succeeded[1233274562]
VGA region passed
heart beat succeeded[934181475]
heart beat succeeded[1767881065]
heart beat succeeded[1900218973]
heart beat succeeded[85152059]
heart beat succeeded[570893376]
heart beat succeeded[56391292]
heart beat succeeded[1159378060]
heart beat succeeded[295423522]
heart beat succeeded[1485405839]
heart beat succeeded[571196753]
heart beat succeeded[1090307826]
heart beat succeeded[811755736]
heart beat succeeded[1583856703]
heart beat succeeded[736089583]
heart beat succeeded[683464791]
heart beat succeeded[58208109]
heart beat succeeded[909457270]
heart beat succeeded[895969925]
heart beat succeeded[2062578167]
heart beat succeeded[1102046925]
heart beat succeeded[1808024072]
heart beat succeeded[1986215233]
heart beat succeeded[828451142]
heart beat succeeded[688862545]
heart beat succeeded[1479085481]
heart beat succeeded[2143091225]
heart beat succeeded[468657521]
heart beat succeeded[282437617]
heart beat succeeded[1453787617]
heart beat succeeded[2035576913]
heart beat succeeded[1491614639]
heart beat succeeded[756082269]
heart beat succeeded[1596860869]
heart beat succeeded[1619202116]
heart beat succeeded[908258069]
heart beat succeeded[34922104]
heart beat succeeded[1203069162]
heart beat succeeded[1277110007]
heart beat succeeded[552468161]
heart beat succeeded[514549464]
heart beat succeeded[1734550668]
heart beat succeeded[1007812305]
heart beat succeeded[1293573757]
heart beat succeeded[2028208081]
heart beat succeeded[1800321211]
heart beat succeeded[1293377938]
heart beat succeeded[565586373]
heart beat succeeded[526403785]
heart beat succeeded[2071800099]
heart beat succeeded[821902539]
heart beat succeeded[26241678]
heart beat succeeded[1492841588]
heart beat succeeded[765466558]
heart beat succeeded[820051379]
heart beat succeeded[197974947]
heart beat succeeded[378322743]
heart beat succeeded[1356702345]
heart beat succeeded[1454287626]
heart beat succeeded[953516202]
heart beat succeeded[1308175691]
heart beat succeeded[258875710]
heart beat succeeded[1444714547]
heart beat succeeded[1326807175]
heart beat succeeded[1502014462]
heart beat succeeded[1442054876]
heart beat succeeded[2055186487]
heart beat succeeded[1228847751]
heart beat succeeded[166107831]
heart beat succeeded[144076733]
heart beat succeeded[1715222620]
heart beat succeeded[1099127660]
heart beat succeeded[30342520]
heart beat succeeded[1664163155]
heart beat succeeded[851712377]
heart beat succeeded[1768681915]
heart beat succeeded[1920425685]
heart beat succeeded[452837977]
heart beat succeeded[78988812]
heart beat succeeded[1325281975]
heart beat succeeded[1968550270]
heart beat succeeded[683212587]
heart beat succeeded[1790477902]
heart beat succeeded[340736859]
heart beat succeeded[1394423313]
heart beat succeeded[1476621346]
heart beat succeeded[785305905]
heart beat succeeded[1846283383]
heart beat succeeded[1721288828]
heart beat succeeded[1864609866]
heart beat succeeded[1082279052]
heart beat succeeded[682472077]
heart beat succeeded[924064650]
heart beat succeeded[1104287672]
heart beat succeeded[402464670]
heart beat succeeded[320610105]
heart beat succeeded[153295206]
heart beat succeeded[1955706460]
heart beat succeeded[514240676]
heart beat succeeded[289972979]
heart beat succeeded[1426980104]
heart beat succeeded[1345517375]
heart beat succeeded[1144712452]
heart beat succeeded[854907856]
heart beat succeeded[2140266741]
heart beat succeeded[1557534188]
heart beat succeeded[875392114]
heart beat succeeded[2014266203]
heart beat succeeded[1132027137]
heart beat succeeded[455147376]
heart beat succeeded[1308908897]
heart beat succeeded[1366894672]
heart beat succeeded[1312317290]
heart beat succeeded[788171005]
heart beat succeeded[135192677]
heart beat succeeded[747805618]
heart beat succeeded[1955147526]
heart beat succeeded[247557012]
heart beat succeeded[1766284753]
heart beat succeeded[1790168635]
heart beat succeeded[36334875]
heart beat succeeded[1882029822]
heart beat succeeded[1567274609]
heart beat succeeded[16133886]
heart beat succeeded[480378975]
heart beat succeeded[1214990896]
heart beat succeeded[393096108]
heart beat succeeded[315473463]
heart beat succeeded[790345775]
heart beat succeeded[184470072]
heart beat succeeded[935302980]
heart beat succeeded[174857309]
heart beat succeeded[1396134082]
heart beat succeeded[1448878456]
heart beat succeeded[1187998286]
heart beat succeeded[606276665]
heart beat succeeded[1261247783]
heart beat succeeded[1880820104]
heart beat succeeded[184292537]
heart beat succeeded[1598659513]
heart beat succeeded[136617466]
heart beat succeeded[1402042589]
heart beat succeeded[319378609]
heart beat succeeded[348426466]
heart beat succeeded[129873517]
heart beat succeeded[1946396087]
heart beat succeeded[103348850]
heart beat succeeded[850846629]
heart beat succeeded[141479139]
heart beat succeeded[1889014782]
heart beat succeeded[1441171249]
